ncr_id,date_opened,date_closed,part_number,supplier_id,defect_type,severity,status,owner,root_cause_category,corrective_action_status
NCR-1088,2024-12-01,,PROP-003,SUP-006,Electrical Short,Minor,CAPA In Progress,QE-Nguyen,Tooling Wear,In Progress
NCR-1089,2024-08-16,,FAST-010,SUP-008,Delamination,Major,RCA Complete,QE-Osei,Process Deviation,Complete
NCR-1090,2024-04-16,,BATT-008,SUP-009,Crack / Fracture,Major,Open,QE-Nguyen,,Not Started
NCR-1091,2023-02-08,2023-03-07,LARM-015,SUP-010,Dimensional Out-of-Tolerance,Minor,Closed,QE-Patel,Design Deficiency,Not Started
NCR-1092,2023-02-03,,FAST-010,SUP-008,Dimensional Out-of-Tolerance,Major,Open,QE-Patel,,Not Started
NCR-1093,2023-11-23,2023-12-20,PROP-003,SUP-006,Delamination,Major,Closed,QE-Torres,Measurement Error,Complete
NCR-1094,2023-07-31,,MOTOR-004,SUP-007,Documentation Missing,Major,CAPA In Progress,QE-Nguyen,Measurement Error,In Progress
NCR-1095,2024-04-30,2024-05-31,WING-007,SUP-006,Dimensional Out-of-Tolerance,Minor,Closed,QE-Patel,Process Deviation,Not Started
NCR-1096,2023-02-14,2023-02-24,ESC-002,SUP-004,Wrong Material Cert,Critical,Closed,QE-Patel,Measurement Error,Complete
NCR-1097,2024-04-12,,ESC-002,SUP-004,Contamination,Major,RCA Complete,QE-Brooks,Supplier Non-Conformance,Complete
NCR-1098,2023-08-17,2023-09-30,FRAME-012,SUP-001,Electrical Short,Minor,Closed,QE-Patel,Incoming Material,Complete
NCR-1099,2024-01-02,,WING-007,SUP-006,Insulation Damage,Major,CAPA In Progress,QE-Torres,Tooling Wear,Not Started
NCR-1100,2024-06-03,,LARM-015,SUP-010,Thread Damage,Minor,Containment Complete,QE-Nguyen,Process Deviation,In Progress
NCR-1101,2024-03-18,,FC-014,SUP-004,Solder Joint Failure,Minor,Under Review,QE-Torres,,Complete
NCR-1102,2024-02-26,,BATT-008,SUP-009,Delamination,Major,RCA Complete,QE-Torres,Process Deviation,Not Started
NCR-1103,2024-10-10,,THRM-011,SUP-005,Corrosion,Major,RCA Complete,QE-Nguyen,Tooling Wear,In Progress
NCR-1104,2023-10-23,2023-10-31,FC-014,SUP-004,Documentation Missing,Major,Closed,QE-Torres,Tooling Wear,Not Started
NCR-1105,2024-08-04,,WING-007,SUP-006,Dimensional Out-of-Tolerance,Major,Under Review,QE-Osei,,Complete
NCR-1106,2024-01-06,,FRAME-012,SUP-001,Corrosion,Minor,CAPA In Progress,QE-Patel,Training Gap,Complete
NCR-1107,2023-05-26,2023-06-05,PROP-003,SUP-006,Surface Finish,Critical,Closed,QE-Brooks,Incoming Material,Not Started
NCR-1108,2024-11-24,,LARM-015,SUP-010,Solder Joint Failure,Minor,CAPA In Progress,QE-Patel,Training Gap,In Progress
NCR-1109,2024-11-03,,LARM-015,SUP-010,Contamination,Major,Open,QE-Torres,,Not Started
NCR-1110,2024-12-18,,BATT-008,SUP-009,Incorrect Part Number,Major,Open,QE-Torres,,Not Started
NCR-1111,2024-06-19,2024-06-28,BCON-006,SUP-004,Thread Damage,Minor,Closed,QE-Brooks,Design Deficiency,Not Started
NCR-1112,2023-10-05,,FAST-010,SUP-008,Dimensional Out-of-Tolerance,Critical,Open,QE-Brooks,,Not Started
NCR-1113,2024-06-16,,PROP-003,SUP-006,Missing Hardware,Major,Under Review,QE-Patel,,Complete
NCR-1114,2023-07-22,,WING-007,SUP-006,Crack / Fracture,Major,CAPA In Progress,QE-Patel,Training Gap,Not Started
NCR-1115,2024-02-24,,ESC-002,SUP-004,Electrical Short,Minor,Under Review,QE-Brooks,,Complete
NCR-1116,2024-03-23,2024-03-29,PYLD-009,SUP-001,Thread Damage,Minor,Closed,QE-Osei,Training Gap,Not Started
NCR-1117,2024-10-27,,FAST-010,SUP-008,Thread Damage,Minor,Under Review,QE-Torres,,In Progress
NCR-1118,2023-05-30,,PYLD-009,SUP-001,Documentation Missing,Major,Under Review,QE-Nguyen,,Not Started
NCR-1119,2023-06-14,2023-07-13,MOTOR-004,SUP-007,Crack / Fracture,Major,Closed,QE-Brooks,Tooling Wear,Not Started
NCR-1120,2024-03-19,,PYLD-009,SUP-001,Dimensional Out-of-Tolerance,Major,RCA Complete,QE-Brooks,Tooling Wear,Complete
NCR-1121,2023-02-18,2023-03-27,FRAME-012,SUP-001,Solder Joint Failure,Major,Closed,QE-Brooks,Process Deviation,Not Started
NCR-1122,2024-01-27,,WHAR-005,SUP-005,Incorrect Part Number,Critical,Open,QE-Patel,,Not Started
NCR-1123,2024-04-03,,MMB-001,SUP-003,Electrical Short,Minor,Open,QE-Brooks,,Not Started
NCR-1124,2024-06-04,,LARM-015,SUP-010,Delamination,Major,Open,QE-Torres,,Not Started
NCR-1125,2024-11-29,2025-01-08,BATT-008,SUP-009,Surface Finish,Minor,Closed,QE-Brooks,Supplier Non-Conformance,Complete
NCR-1126,2023-09-03,,BATT-008,SUP-009,Insulation Damage,Major,Containment Complete,QE-Torres,Process Deviation,Not Started
NCR-1127,2024-09-16,,GPS-013,SUP-004,Crack / Fracture,Major,Open,QE-Patel,,Not Started
NCR-1128,2024-02-22,2024-03-30,PYLD-009,SUP-001,Surface Finish,Major,Closed,QE-Brooks,Process Deviation,In Progress
NCR-1129,2023-05-17,,PYLD-009,SUP-001,Connector Misalignment,Minor,Under Review,QE-Osei,,In Progress
NCR-1130,2023-02-07,,GPS-013,SUP-004,Connector Misalignment,Major,CAPA In Progress,QE-Nguyen,Supplier Non-Conformance,Complete
NCR-1131,2023-02-11,2023-03-25,FRAME-012,SUP-001,Surface Finish,Major,Closed,QE-Torres,Incoming Material,In Progress
NCR-1132,2024-09-26,2024-11-09,MMB-001,SUP-003,Surface Finish,Minor,Closed,QE-Osei,Measurement Error,Not Started
NCR-1133,2023-03-03,2023-03-13,PROP-003,SUP-006,Thread Damage,Major,Closed,QE-Brooks,Measurement Error,Not Started
NCR-1134,2024-07-11,,PROP-003,SUP-006,Thread Damage,Major,Open,QE-Patel,,Not Started
NCR-1135,2024-11-11,,FRAME-012,SUP-001,Corrosion,Major,Open,QE-Patel,,Not Started
NCR-1136,2024-09-03,2024-10-16,THRM-011,SUP-005,Electrical Short,Critical,Closed,QE-Patel,Design Deficiency,In Progress
NCR-1137,2023-11-16,,MOTOR-004,SUP-007,Documentation Missing,Critical,Open,QE-Brooks,,Not Started
NCR-1138,2024-04-02,,MOTOR-004,SUP-007,Dimensional Out-of-Tolerance,Major,Open,QE-Torres,,Not Started
NCR-1139,2024-10-10,2024-11-17,LARM-015,SUP-010,Wrong Material Cert,Major,Closed,QE-Patel,Training Gap,Not Started
NCR-1140,2023-09-11,2023-09-16,MOTOR-004,SUP-007,Contamination,Minor,Closed,QE-Patel,Process Deviation,Complete
NCR-1141,2024-09-05,,FRAME-012,SUP-001,Contamination,Critical,CAPA In Progress,QE-Patel,Process Deviation,Complete
NCR-1142,2024-12-18,2025-01-30,MOTOR-004,SUP-007,Delamination,Major,Closed,QE-Nguyen,Training Gap,Complete
NCR-1143,2023-12-15,,MOTOR-004,SUP-007,Electrical Short,Major,RCA Complete,QE-Torres,Measurement Error,Complete
NCR-1144,2024-07-05,,WING-007,SUP-006,Thread Damage,Minor,Containment Complete,QE-Osei,Training Gap,Not Started
NCR-1145,2023-05-03,2023-05-15,FAST-010,SUP-008,Corrosion,Major,Closed,QE-Osei,Supplier Non-Conformance,In Progress
NCR-1146,2024-10-28,,MOTOR-004,SUP-007,Corrosion,Major,Under Review,QE-Nguyen,,Complete
NCR-1147,2023-01-06,2023-01-15,PROP-003,SUP-006,Surface Finish,Major,Closed,QE-Brooks,Measurement Error,Not Started
NCR-1148,2023-07-29,,FAST-010,SUP-008,Corrosion,Major,Under Review,QE-Torres,,Complete
NCR-1149,2023-11-17,2023-12-22,WING-007,SUP-006,Documentation Missing,Critical,Closed,QE-Nguyen,Measurement Error,Complete
NCR-1150,2024-12-27,2025-01-11,THRM-011,SUP-005,Solder Joint Failure,Critical,Closed,QE-Nguyen,Process Deviation,In Progress
NCR-1151,2024-05-12,,BCON-006,SUP-004,Electrical Short,Minor,CAPA In Progress,QE-Torres,Tooling Wear,Not Started
NCR-1152,2023-09-20,2023-11-03,FRAME-012,SUP-001,Electrical Short,Major,Closed,QE-Brooks,Training Gap,Complete
NCR-1153,2024-08-06,,FC-014,SUP-004,Documentation Missing,Minor,Under Review,QE-Brooks,,In Progress
NCR-1154,2024-12-15,,MOTOR-004,SUP-007,Missing Hardware,Major,Open,QE-Brooks,,Not Started
NCR-1155,2024-01-05,2024-01-10,FC-014,SUP-004,Thread Damage,Major,Closed,QE-Patel,Tooling Wear,In Progress
NCR-1156,2023-10-28,,THRM-011,SUP-005,Wrong Material Cert,Minor,CAPA In Progress,QE-Patel,Measurement Error,Not Started
NCR-1157,2023-06-01,,THRM-011,SUP-005,Surface Finish,Critical,CAPA In Progress,QE-Nguyen,Design Deficiency,Complete
NCR-1158,2023-02-06,2023-03-01,MOTOR-004,SUP-007,Contamination,Minor,Closed,QE-Torres,Supplier Non-Conformance,Not Started
NCR-1159,2024-12-16,,FC-014,SUP-004,Crack / Fracture,Major,CAPA In Progress,QE-Patel,Incoming Material,Complete
NCR-1160,2023-01-26,2023-01-29,FAST-010,SUP-008,Corrosion,Major,Closed,QE-Patel,Incoming Material,In Progress
NCR-1161,2023-04-10,,PROP-003,SUP-006,Contamination,Minor,RCA Complete,QE-Osei,Process Deviation,Not Started
NCR-1162,2024-01-31,,BCON-006,SUP-004,Corrosion,Major,Open,QE-Patel,,Not Started
NCR-1163,2023-10-03,2023-10-19,MMB-001,SUP-003,Crack / Fracture,Minor,Closed,QE-Osei,Design Deficiency,In Progress
NCR-1164,2024-04-08,,ESC-002,SUP-004,Electrical Short,Major,Under Review,QE-Torres,,Complete
NCR-1165,2024-08-14,2024-09-20,GPS-013,SUP-004,Documentation Missing,Minor,Closed,QE-Nguyen,Measurement Error,In Progress
NCR-1166,2023-04-28,2023-05-15,MOTOR-004,SUP-007,Missing Hardware,Minor,Closed,QE-Brooks,Supplier Non-Conformance,Complete
NCR-1167,2024-09-04,,THRM-011,SUP-005,Thread Damage,Major,Open,QE-Brooks,,Not Started
NCR-1168,2024-07-06,2024-07-30,PROP-003,SUP-006,Corrosion,Major,Closed,QE-Patel,Incoming Material,Complete
NCR-1169,2024-01-12,2024-02-07,FRAME-012,SUP-001,Incorrect Part Number,Major,Closed,QE-Patel,Design Deficiency,Not Started
NCR-1170,2024-01-26,,GPS-013,SUP-004,Contamination,Minor,Open,QE-Patel,,Not Started
NCR-1171,2024-05-29,,GPS-013,SUP-004,Incorrect Part Number,Major,CAPA In Progress,QE-Torres,Measurement Error,Complete
NCR-1172,2023-10-03,,ESC-002,SUP-004,Delamination,Minor,Containment Complete,QE-Osei,Process Deviation,Not Started
NCR-1173,2023-05-31,2023-06-30,BATT-008,SUP-009,Solder Joint Failure,Major,Closed,QE-Patel,Design Deficiency,In Progress
NCR-1174,2023-05-08,,MOTOR-004,SUP-007,Electrical Short,Major,RCA Complete,QE-Osei,Tooling Wear,Not Started
NCR-1175,2024-02-09,,LARM-015,SUP-010,Documentation Missing,Major,RCA Complete,QE-Patel,Measurement Error,Complete
NCR-1176,2024-05-12,,THRM-011,SUP-005,Solder Joint Failure,Minor,Open,QE-Patel,,Not Started
NCR-1177,2023-02-01,2023-02-08,MOTOR-004,SUP-007,Surface Finish,Minor,Closed,QE-Torres,Supplier Non-Conformance,Not Started
NCR-1178,2024-04-08,,FRAME-012,SUP-001,Contamination,Major,Under Review,QE-Torres,,Complete
NCR-1179,2023-03-21,2023-04-12,THRM-011,SUP-005,Contamination,Major,Closed,QE-Osei,Process Deviation,Complete
NCR-1180,2024-05-06,2024-05-21,FAST-010,SUP-008,Insulation Damage,Minor,Closed,QE-Patel,Supplier Non-Conformance,In Progress
NCR-1181,2023-11-25,,ESC-002,SUP-004,Wrong Material Cert,Major,Open,QE-Nguyen,,Not Started
NCR-1182,2023-06-07,,GPS-013,SUP-004,Contamination,Major,CAPA In Progress,QE-Patel,Training Gap,Not Started
NCR-1183,2023-12-05,,GPS-013,SUP-004,Connector Misalignment,Critical,Under Review,QE-Brooks,,Complete
NCR-1184,2024-12-28,2024-12-31,ESC-002,SUP-004,Documentation Missing,Major,Closed,QE-Brooks,Incoming Material,Complete
NCR-1185,2023-10-06,,ESC-002,SUP-004,Delamination,Minor,Under Review,QE-Osei,,Not Started
NCR-1186,2024-03-06,2024-03-26,WING-007,SUP-006,Connector Misalignment,Major,Closed,QE-Osei,Supplier Non-Conformance,Not Started
NCR-1187,2023-07-19,,MMB-001,SUP-003,Solder Joint Failure,Major,RCA Complete,QE-Brooks,Incoming Material,Complete
NCR-1188,2023-04-21,2023-04-25,BCON-006,SUP-004,Electrical Short,Critical,Closed,QE-Nguyen,Process Deviation,Complete
NCR-1189,2023-07-23,,MMB-001,SUP-003,Thread Damage,Minor,Containment Complete,QE-Patel,Training Gap,Not Started
NCR-1190,2023-12-27,,ESC-002,SUP-004,Wrong Material Cert,Major,Containment Complete,QE-Osei,Tooling Wear,Not Started
NCR-1191,2024-02-21,,BCON-006,SUP-004,Documentation Missing,Minor,Open,QE-Patel,,Not Started
NCR-1192,2023-07-17,2023-08-28,WING-007,SUP-006,Solder Joint Failure,Minor,Closed,QE-Patel,Process Deviation,In Progress
NCR-1193,2023-07-04,,MOTOR-004,SUP-007,Wrong Material Cert,Major,Containment Complete,QE-Torres,Training Gap,Not Started
NCR-1194,2023-06-04,2023-06-15,GPS-013,SUP-004,Solder Joint Failure,Minor,Closed,QE-Patel,Tooling Wear,In Progress
NCR-1195,2024-07-12,,WING-007,SUP-006,Documentation Missing,Critical,Containment Complete,QE-Brooks,Process Deviation,Not Started
NCR-1196,2023-01-02,2023-01-05,PYLD-009,SUP-001,Solder Joint Failure,Major,Closed,QE-Osei,Measurement Error,In Progress
NCR-1197,2024-08-24,2024-10-05,FAST-010,SUP-008,Crack / Fracture,Minor,Closed,QE-Osei,Supplier Non-Conformance,In Progress
NCR-1198,2023-05-15,2023-06-25,FRAME-012,SUP-001,Surface Finish,Minor,Closed,QE-Osei,Design Deficiency,Complete
NCR-1199,2024-02-04,2024-03-16,LARM-015,SUP-010,Wrong Material Cert,Critical,Closed,QE-Osei,Training Gap,In Progress
NCR-1200,2023-09-25,,WING-007,SUP-006,Wrong Material Cert,Major,Under Review,QE-Nguyen,,In Progress
NCR-1201,2024-01-09,,ESC-002,SUP-004,Dimensional Out-of-Tolerance,Major,Open,QE-Nguyen,,Not Started
NCR-1202,2024-12-15,,THRM-011,SUP-005,Delamination,Major,RCA Complete,QE-Brooks,Supplier Non-Conformance,In Progress
NCR-1203,2024-12-03,,FRAME-012,SUP-001,Delamination,Major,CAPA In Progress,QE-Nguyen,Supplier Non-Conformance,Not Started
NCR-1204,2023-01-16,2023-02-13,PYLD-009,SUP-001,Insulation Damage,Major,Closed,QE-Torres,Training Gap,Complete
NCR-1205,2023-01-23,,ESC-002,SUP-004,Surface Finish,Major,Under Review,QE-Osei,,Complete
NCR-1206,2023-02-13,,THRM-011,SUP-005,Connector Misalignment,Major,Under Review,QE-Torres,,In Progress
NCR-1207,2023-09-25,2023-10-21,WHAR-005,SUP-005,Incorrect Part Number,Major,Closed,QE-Patel,Supplier Non-Conformance,Complete
NCR-1208,2024-11-19,2024-12-29,ESC-002,SUP-004,Dimensional Out-of-Tolerance,Minor,Closed,QE-Patel,Tooling Wear,In Progress
NCR-1209,2024-10-25,2024-11-03,MMB-001,SUP-003,Incorrect Part Number,Major,Closed,QE-Torres,Process Deviation,Complete
NCR-1210,2024-04-03,2024-04-26,MOTOR-004,SUP-007,Documentation Missing,Major,Closed,QE-Brooks,Tooling Wear,Complete
NCR-1211,2023-03-25,,GPS-013,SUP-004,Missing Hardware,Major,Under Review,QE-Torres,,Complete
NCR-1212,2024-06-11,,BCON-006,SUP-004,Corrosion,Major,Containment Complete,QE-Nguyen,Process Deviation,In Progress
NCR-1213,2023-03-28,,MMB-001,SUP-003,Crack / Fracture,Minor,CAPA In Progress,QE-Nguyen,Design Deficiency,Not Started
NCR-1214,2024-07-04,2024-07-07,FAST-010,SUP-008,Insulation Damage,Minor,Closed,QE-Patel,Measurement Error,Complete
