inspection_id,part_serial_number,lot_number,supplier_id,feature_id,gdandt_type,measured_x,measured_y,measured_value,nominal_value,nominal_x,nominal_y,tolerance,measurement_unit,inspector,inspection_date
INS-GDT-00014,MMB-0002,LOT-201,SUP-003,HOLE_3_POSITION,position,19.9986,60.0454,0.0908,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00015,MMB-0002,LOT-201,SUP-003,HOLE_4_POSITION,position,79.9937,59.9685,0.0643,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00016,MMB-0002,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0537,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00017,MMB-0002,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0058,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00018,MMB-0002,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.1148,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00019,MMB-0002,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.1745,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00020,MMB-0002,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,4.978,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00021,MMB-0002,LOT-201,SUP-003,SLOT_WIDTH,width,,,8.0439,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00022,MMB-0002,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,6.0143,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00023,MMB-0003,LOT-201,SUP-003,HOLE_1_POSITION,position,19.9807,19.9421,0.1222,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00024,MMB-0003,LOT-201,SUP-003,HOLE_2_POSITION,position,80.0283,19.9648,0.0904,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00025,MMB-0003,LOT-201,SUP-003,HOLE_3_POSITION,position,19.9449,59.9859,0.1138,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00026,MMB-0003,LOT-201,SUP-003,HOLE_4_POSITION,position,79.9723,60.004,0.056,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00027,MMB-0003,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0224,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00028,MMB-0003,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.091,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00029,MMB-0003,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.0979,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00030,MMB-0003,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.108,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00031,MMB-0003,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,4.9819,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00032,MMB-0003,LOT-201,SUP-003,SLOT_WIDTH,width,,,8.0457,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00033,MMB-0003,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,6.0246,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00034,MMB-0004,LOT-201,SUP-003,HOLE_1_POSITION,position,20.1328,20.0132,0.2669,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00035,MMB-0004,LOT-201,SUP-003,HOLE_2_POSITION,position,80.0821,20.023,0.1705,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00036,MMB-0004,LOT-201,SUP-003,HOLE_3_POSITION,position,20.0034,59.9396,0.121,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00037,MMB-0004,LOT-201,SUP-003,HOLE_4_POSITION,position,80.0433,59.9494,0.1332,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00038,MMB-0004,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0173,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00039,MMB-0004,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0537,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00040,MMB-0004,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.059,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00041,MMB-0004,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.0106,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00042,MMB-0004,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,4.9841,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00043,MMB-0004,LOT-201,SUP-003,SLOT_WIDTH,width,,,8.0379,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00044,MMB-0004,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,6.0219,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00045,MMB-0005,LOT-201,SUP-003,HOLE_1_POSITION,position,20.0349,20.0087,0.072,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00046,MMB-0005,LOT-201,SUP-003,HOLE_2_POSITION,position,80.0331,20.0121,0.0705,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00047,MMB-0005,LOT-201,SUP-003,HOLE_3_POSITION,position,19.9933,60.0466,0.0941,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00048,MMB-0005,LOT-201,SUP-003,HOLE_4_POSITION,position,79.9853,59.9538,0.097,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00049,MMB-0005,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0432,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00050,MMB-0005,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.092,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00051,MMB-0005,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.007,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00052,MMB-0005,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.1647,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00053,MMB-0005,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,4.9591,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00054,MMB-0005,LOT-201,SUP-003,SLOT_WIDTH,width,,,8.0421,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00055,MMB-0005,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,5.9817,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00056,MMB-0006,LOT-201,SUP-003,HOLE_1_POSITION,position,20.0392,19.9693,0.0997,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00057,MMB-0006,LOT-201,SUP-003,HOLE_2_POSITION,position,80.0166,19.931,0.142,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00058,MMB-0006,LOT-201,SUP-003,HOLE_3_POSITION,position,19.9888,59.9976,0.023,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00059,MMB-0006,LOT-201,SUP-003,HOLE_4_POSITION,position,80.0577,60.1077,0.2443,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00060,MMB-0006,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0337,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00061,MMB-0006,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0639,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00062,MMB-0006,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.0289,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00063,MMB-0006,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.0207,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00064,MMB-0006,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,5.0038,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00065,MMB-0006,LOT-201,SUP-003,SLOT_WIDTH,width,,,8.0141,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00066,MMB-0006,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,6.0202,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00067,MMB-0007,LOT-201,SUP-003,HOLE_1_POSITION,position,20.0352,20.018,0.0792,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00068,MMB-0007,LOT-201,SUP-003,HOLE_2_POSITION,position,79.9267,20.0446,0.1717,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00069,MMB-0007,LOT-201,SUP-003,HOLE_3_POSITION,position,19.9958,59.9618,0.0769,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00070,MMB-0007,LOT-201,SUP-003,HOLE_4_POSITION,position,79.9751,59.9161,0.1751,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00071,MMB-0007,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0198,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00072,MMB-0007,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0775,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00073,MMB-0007,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.0569,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00074,MMB-0007,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.0597,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00075,MMB-0007,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,4.9948,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00076,MMB-0007,LOT-201,SUP-003,SLOT_WIDTH,width,,,8.0238,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00077,MMB-0007,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,5.9713,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00078,MMB-0008,LOT-201,SUP-003,HOLE_1_POSITION,position,19.949,20.0064,0.1027,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00079,MMB-0008,LOT-201,SUP-003,HOLE_2_POSITION,position,79.9375,20.0973,0.2312,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00080,MMB-0008,LOT-201,SUP-003,HOLE_3_POSITION,position,19.9939,59.9637,0.0736,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00081,MMB-0008,LOT-201,SUP-003,HOLE_4_POSITION,position,79.951,59.971,0.1139,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00082,MMB-0008,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0165,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00083,MMB-0008,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0077,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00084,MMB-0008,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.1205,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00085,MMB-0008,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.1189,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00086,MMB-0008,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,4.9995,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00087,MMB-0008,LOT-201,SUP-003,SLOT_WIDTH,width,,,8.0345,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00088,MMB-0008,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,5.9786,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00089,MMB-0009,LOT-201,SUP-003,HOLE_1_POSITION,position,19.9621,20.0229,0.0886,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00090,MMB-0009,LOT-201,SUP-003,HOLE_2_POSITION,position,79.9968,20.0172,0.0351,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00091,MMB-0009,LOT-201,SUP-003,HOLE_3_POSITION,position,19.9968,59.9903,0.0203,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00092,MMB-0009,LOT-201,SUP-003,HOLE_4_POSITION,position,80.086,60.0639,0.2144,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00093,MMB-0009,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0125,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00094,MMB-0009,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0994,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00095,MMB-0009,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.1563,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00096,MMB-0009,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.2062,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00097,MMB-0009,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,4.9957,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00098,MMB-0009,LOT-201,SUP-003,SLOT_WIDTH,width,,,7.9893,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00099,MMB-0009,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,6.0232,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00100,MMB-0010,LOT-201,SUP-003,HOLE_1_POSITION,position,19.969,20.0178,0.0714,,20.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00101,MMB-0010,LOT-201,SUP-003,HOLE_2_POSITION,position,79.9989,20.0609,0.1218,,80.0,20.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00102,MMB-0010,LOT-201,SUP-003,HOLE_3_POSITION,position,19.9844,59.9823,0.0472,,20.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00103,MMB-0010,LOT-201,SUP-003,HOLE_4_POSITION,position,80.0227,60.116,0.2365,,80.0,60.0,0.2,mm,QE-Nguyen,2024-02-15
INS-GDT-00104,MMB-0010,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0262,0.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00105,MMB-0010,LOT-201,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0425,0.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00106,MMB-0010,LOT-201,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.1043,0.0,,,0.15,mm,QE-Nguyen,2024-02-15
INS-GDT-00107,MMB-0010,LOT-201,SUP-003,OUTER_PROFILE,profile,,,0.1703,0.0,,,0.3,mm,QE-Nguyen,2024-02-15
INS-GDT-00108,MMB-0010,LOT-201,SUP-003,HOLE_DIAMETER,diameter,,,4.981,5.0,,,0.05,mm,QE-Nguyen,2024-02-15
INS-GDT-00109,MMB-0010,LOT-201,SUP-003,SLOT_WIDTH,width,,,7.9939,8.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00110,MMB-0010,LOT-201,SUP-003,BRACKET_THICKNESS,thickness,,,6.0324,6.0,,,0.1,mm,QE-Nguyen,2024-02-15
INS-GDT-00111,MMB-0011,LOT-202,SUP-003,HOLE_1_POSITION,position,20.0268,19.9543,0.106,,20.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00112,MMB-0011,LOT-202,SUP-003,HOLE_2_POSITION,position,80.031,19.992,0.0641,,80.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00113,MMB-0011,LOT-202,SUP-003,HOLE_3_POSITION,position,19.9845,59.9646,0.0774,,20.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00114,MMB-0011,LOT-202,SUP-003,HOLE_4_POSITION,position,79.9786,60.0334,0.0793,,80.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00115,MMB-0011,LOT-202,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0407,0.0,,,0.05,mm,QE-Nguyen,2024-03-10
INS-GDT-00116,MMB-0011,LOT-202,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0708,0.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00117,MMB-0011,LOT-202,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.1246,0.0,,,0.15,mm,QE-Nguyen,2024-03-10
INS-GDT-00118,MMB-0011,LOT-202,SUP-003,OUTER_PROFILE,profile,,,0.2977,0.0,,,0.3,mm,QE-Nguyen,2024-03-10
INS-GDT-00119,MMB-0011,LOT-202,SUP-003,HOLE_DIAMETER,diameter,,,4.9935,5.0,,,0.05,mm,QE-Nguyen,2024-03-10
INS-GDT-00120,MMB-0011,LOT-202,SUP-003,SLOT_WIDTH,width,,,8.0038,8.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00121,MMB-0011,LOT-202,SUP-003,BRACKET_THICKNESS,thickness,,,5.969,6.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00122,MMB-0012,LOT-202,SUP-003,HOLE_1_POSITION,position,20.0595,20.065,0.1762,,20.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00123,MMB-0012,LOT-202,SUP-003,HOLE_2_POSITION,position,79.9566,20.0309,0.1065,,80.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00124,MMB-0012,LOT-202,SUP-003,HOLE_3_POSITION,position,20.0487,60.0091,0.099,,20.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00125,MMB-0012,LOT-202,SUP-003,HOLE_4_POSITION,position,80.0508,60.0105,0.1038,,80.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00126,MMB-0012,LOT-202,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0067,0.0,,,0.05,mm,QE-Nguyen,2024-03-10
INS-GDT-00127,MMB-0012,LOT-202,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0865,0.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00128,MMB-0012,LOT-202,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.123,0.0,,,0.15,mm,QE-Nguyen,2024-03-10
INS-GDT-00129,MMB-0012,LOT-202,SUP-003,OUTER_PROFILE,profile,,,0.1714,0.0,,,0.3,mm,QE-Nguyen,2024-03-10
INS-GDT-00130,MMB-0012,LOT-202,SUP-003,HOLE_DIAMETER,diameter,,,4.9809,5.0,,,0.05,mm,QE-Nguyen,2024-03-10
INS-GDT-00131,MMB-0012,LOT-202,SUP-003,SLOT_WIDTH,width,,,7.9875,8.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00132,MMB-0012,LOT-202,SUP-003,BRACKET_THICKNESS,thickness,,,5.9767,6.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00133,MMB-0013,LOT-202,SUP-003,HOLE_1_POSITION,position,20.0385,20.0634,0.1484,,20.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00134,MMB-0013,LOT-202,SUP-003,HOLE_2_POSITION,position,80.0212,20.047,0.1032,,80.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00135,MMB-0013,LOT-202,SUP-003,HOLE_3_POSITION,position,19.9653,60.0058,0.0704,,20.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00136,MMB-0013,LOT-202,SUP-003,HOLE_4_POSITION,position,79.9178,59.9537,0.1887,,80.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00137,MMB-0013,LOT-202,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0382,0.0,,,0.05,mm,QE-Nguyen,2024-03-10
INS-GDT-00138,MMB-0013,LOT-202,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0478,0.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00139,MMB-0013,LOT-202,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.1184,0.0,,,0.15,mm,QE-Nguyen,2024-03-10
INS-GDT-00140,MMB-0013,LOT-202,SUP-003,OUTER_PROFILE,profile,,,0.1577,0.0,,,0.3,mm,QE-Nguyen,2024-03-10
INS-GDT-00141,MMB-0013,LOT-202,SUP-003,HOLE_DIAMETER,diameter,,,5.0547,5.0,,,0.05,mm,QE-Nguyen,2024-03-10
INS-GDT-00142,MMB-0013,LOT-202,SUP-003,SLOT_WIDTH,width,,,8.0128,8.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00143,MMB-0013,LOT-202,SUP-003,BRACKET_THICKNESS,thickness,,,5.9698,6.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00144,MMB-0014,LOT-202,SUP-003,HOLE_1_POSITION,position,19.9983,19.9518,0.0964,,20.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00145,MMB-0014,LOT-202,SUP-003,HOLE_2_POSITION,position,80.0489,20.0021,0.0978,,80.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00146,MMB-0014,LOT-202,SUP-003,HOLE_3_POSITION,position,19.9945,59.995,0.0148,,20.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00147,MMB-0014,LOT-202,SUP-003,HOLE_4_POSITION,position,80.0444,59.9729,0.1041,,80.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00148,MMB-0014,LOT-202,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0367,0.0,,,0.05,mm,QE-Nguyen,2024-03-10
INS-GDT-00149,MMB-0014,LOT-202,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0864,0.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00150,MMB-0014,LOT-202,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.0563,0.0,,,0.15,mm,QE-Nguyen,2024-03-10
INS-GDT-00151,MMB-0014,LOT-202,SUP-003,OUTER_PROFILE,profile,,,0.0552,0.0,,,0.3,mm,QE-Nguyen,2024-03-10
INS-GDT-00152,MMB-0014,LOT-202,SUP-003,HOLE_DIAMETER,diameter,,,4.9897,5.0,,,0.05,mm,QE-Nguyen,2024-03-10
INS-GDT-00153,MMB-0014,LOT-202,SUP-003,SLOT_WIDTH,width,,,8.0313,8.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00154,MMB-0014,LOT-202,SUP-003,BRACKET_THICKNESS,thickness,,,6.0073,6.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00155,MMB-0015,LOT-202,SUP-003,HOLE_1_POSITION,position,20.0315,20.0881,0.1872,,20.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00156,MMB-0015,LOT-202,SUP-003,HOLE_2_POSITION,position,80.0115,19.9596,0.0841,,80.0,20.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00157,MMB-0015,LOT-202,SUP-003,HOLE_3_POSITION,position,20.0423,60.0021,0.0847,,20.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00158,MMB-0015,LOT-202,SUP-003,HOLE_4_POSITION,position,80.0523,60.064,0.1653,,80.0,60.0,0.2,mm,QE-Nguyen,2024-03-10
INS-GDT-00159,MMB-0015,LOT-202,SUP-003,MOUNTING_FACE_FLATNESS,flatness,,,0.0106,0.0,,,0.05,mm,QE-Nguyen,2024-03-10
INS-GDT-00160,MMB-0015,LOT-202,SUP-003,OPP_FACE_PARALLELISM,parallelism,,,0.0965,0.0,,,0.1,mm,QE-Nguyen,2024-03-10
INS-GDT-00161,MMB-0015,LOT-202,SUP-003,MOTOR_BORE_PERP,perpendicularity,,,0.1062,0.0,,,0.15,mm,QE-Nguyen,2024-03-10
INS-GDT-00162,MMB-0015,LOT-202,SUP-003,OUTER_PROFILE,profile,,,0.0777,0.0,,,0.3,mm,QE-Nguyen,2024-03-10
