ID,Area,Issue,Action,Owner,Due Date,Status,Priority,Source
NCR-0216,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0266,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0213,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0212,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0211,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0210,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0209,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0208,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0239,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0238,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0215,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0268,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0267,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0265,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0264,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0236,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0235,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0234,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0232,MMB-001,HOLE_DIAMETER,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0253,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0230,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0229,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0228,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0227,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0226,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0225,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0224,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0255,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0231,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0075,WHAR-005,Insulation Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0035,MOTOR-004,Connector Misalignment,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0013,WHAR-005,Insulation Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0306,MOTOR-004,Connector Misalignment,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-12 00:00:00,Containment Complete,200,NCR
NCR-0284,WHAR-005,Insulation Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0159,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,Verification Pending,200,NCR
NCR-0099,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,Verification Pending,200,NCR
NCR-0069,MOTOR-004,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0308,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-12 00:00:00,Verification Pending,200,NCR
NCR-0163,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,Open,200,NCR
NCR-0103,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,Open,200,NCR
NCR-0041,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,Open,200,NCR
NCR-0312,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-12 00:00:00,Open,200,NCR
NCR-0002,ESC-002,Connector Misalignment,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0273,ESC-002,Connector Misalignment,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0158,PROP-003,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0037,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,Verification Pending,200,NCR
NCR-0139,MOTOR-004,Dimensional Out-of-Tolerance,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0131,MOTOR-004,Solder Joint Failure,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0079,MOTOR-004,Dimensional Out-of-Tolerance,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0071,MOTOR-004,Solder Joint Failure,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0017,MOTOR-004,Dimensional Out-of-Tolerance,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0009,MOTOR-004,Solder Joint Failure,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0288,MOTOR-004,Dimensional Out-of-Tolerance,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0280,MOTOR-004,Solder Joint Failure,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-12 00:00:00,Containment Complete,200,NCR
NCR-0097,MOTOR-004,Connector Misalignment,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0101,MMB-001,Solder Joint Failure,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0039,MMB-001,Solder Joint Failure,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0310,MMB-001,Solder Joint Failure,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-12 00:00:00,Containment Complete,200,NCR
NCR-0148,WING-007,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Containment Pending,200,NCR
NCR-0088,WING-007,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Containment Pending,200,NCR
NCR-0026,WING-007,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Containment Pending,200,NCR
NCR-0137,BCON-006,Surface Finish,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0135,WHAR-005,Insulation Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0161,MMB-001,Solder Joint Failure,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0123,MOTOR-004,Surface Finish,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0063,MOTOR-004,Surface Finish,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0001,MOTOR-004,Surface Finish,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0272,MOTOR-004,Surface Finish,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0124,ESC-002,Connector Misalignment,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0064,ESC-002,Connector Misalignment,"Complete containment, RCA, disposition, and CAPA decision",QE-Osei,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0143,MMB-001,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0098,PROP-003,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0021,MMB-001,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0292,MMB-001,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0129,MOTOR-004,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0237,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0007,MOTOR-004,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0278,MOTOR-004,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0036,PROP-003,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,Containment Complete,200,NCR
NCR-0307,PROP-003,Documentation Missing,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-12 00:00:00,Containment Complete,200,NCR
NCR-0083,MMB-001,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0144,PROP-003,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0084,PROP-003,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0022,PROP-003,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0293,PROP-003,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0168,MMB-001,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,RCA Pending,200,NCR
NCR-0108,MMB-001,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,RCA Pending,200,NCR
NCR-0046,MMB-001,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,RCA Pending,200,NCR
NCR-0317,MMB-001,Electrical Short,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-12 00:00:00,RCA Pending,200,NCR
NCR-0294,WING-007,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0287,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-12 00:00:00,CAPA Open,200,NCR
NCR-0153,ESC-002,Delamination,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,Open,200,NCR
NCR-0093,ESC-002,Delamination,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,Open,200,NCR
NCR-0031,ESC-002,Delamination,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-11 00:00:00,Open,200,NCR
NCR-0302,ESC-002,Delamination,"Complete containment, RCA, disposition, and CAPA decision",QE-Patel,2026-06-12 00:00:00,Open,200,NCR
NCR-0145,WING-007,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0085,WING-007,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0023,WING-007,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Nguyen,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0016,MMB-001,Thread Damage,"Complete containment, RCA, disposition, and CAPA decision",QE-Brooks,2026-06-11 00:00:00,CAPA Open,200,NCR
NCR-0381,MMB-001,HOLE_DIAMETER,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0380,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0379,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0378,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0377,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0376,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0347,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0207,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-11 00:00:00,Open,200,NCR
NCR-0345,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0344,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0343,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0342,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0341,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0340,MMB-001,HOLE_DIAMETER,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0339,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0338,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0346,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0398,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0397,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0394,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0393,MMB-001,OPP_FACE_PARALLELISM,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0392,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0391,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0390,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0388,MMB-001,MOTOR_BORE_PERP,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0383,MMB-001,HOLE_1_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0360,MMB-001,MOUNTING_FACE_FLATNESS,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0359,MMB-001,HOLE_4_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0358,MMB-001,HOLE_3_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
NCR-0357,MMB-001,HOLE_2_POSITION,"Complete containment, RCA, disposition, and CAPA decision",QE-Torres,2026-06-14 00:00:00,Open,200,NCR
