inspection_id,date,part_number,supplier_id,lot_number,quantity_received,quantity_inspected,quantity_failed,defect_type,defect_category,inspection_stage,inspector,disposition,ncr_id,cost_impact
INS-00020,2023-05-04,BATT-008,SUP-009,LOT-325,73,32,1,Surface Finish,Cosmetic,Final Assembly,QE-Torres,Rework,,307.27
INS-00021,2024-12-25,ESC-002,SUP-004,LOT-343,171,57,4,Solder Joint Failure,Electrical,Receiving Inspection,QE-Nguyen,Rework,,308.02
INS-00022,2024-05-12,THRM-011,SUP-005,LOT-294,64,50,5,Missing Hardware,Assembly,End-of-Line Test,QE-Torres,Rework,,37.01
INS-00023,2024-11-05,ESC-002,SUP-004,LOT-769,120,75,3,Contamination,Cosmetic,End-of-Line Test,QE-Torres,Use-As-Is,,219.0
INS-00024,2024-02-17,MMB-001,SUP-003,LOT-532,196,135,14,Connector Misalignment,Assembly,Receiving Inspection,QE-Patel,Rework,NCR-9786,1662.7
INS-00025,2024-04-18,WHAR-005,SUP-005,LOT-200,73,73,4,Documentation Missing,Documentation,Receiving Inspection,QE-Torres,Use-As-Is,,336.21
INS-00026,2024-07-07,THRM-011,SUP-005,LOT-270,13,4,0,,,In-Process Inspection,QE-Brooks,Accept,,0.0
INS-00027,2024-05-07,BATT-008,SUP-009,LOT-902,64,41,3,Documentation Missing,Documentation,Receiving Inspection,QE-Brooks,Rework,NCR-7396,989.19
INS-00028,2024-03-09,WHAR-005,SUP-005,LOT-655,188,171,11,Missing Hardware,Assembly,In-Process Inspection,QE-Torres,Use-As-Is,NCR-1958,693.19
INS-00029,2023-11-18,FRAME-012,SUP-001,LOT-614,24,7,0,,,End-of-Line Test,QE-Osei,Accept,,0.0
INS-00030,2023-02-28,PROP-003,SUP-006,LOT-340,140,45,1,Electrical Short,Electrical,In-Process Inspection,QE-Brooks,Rework,,83.27
INS-00031,2024-08-06,ESC-002,SUP-004,LOT-367,73,55,1,Corrosion,Cosmetic,Receiving Inspection,QE-Patel,Reject,NCR-9565,135.93
INS-00032,2023-11-18,THRM-011,SUP-005,LOT-869,71,33,2,Contamination,Cosmetic,In-Process Inspection,QE-Torres,Reject,,9.9
INS-00033,2024-04-14,MMB-001,SUP-003,LOT-350,169,67,7,Surface Finish,Cosmetic,In-Process Inspection,QE-Nguyen,Reject,NCR-6718,1345.73
INS-00034,2023-06-11,WHAR-005,SUP-005,LOT-641,122,99,1,Thread Damage,Dimensional,Final Assembly,QE-Torres,Reject,,80.34
INS-00035,2024-07-21,THRM-011,SUP-005,LOT-259,86,34,1,Documentation Missing,Documentation,In-Process Inspection,QE-Nguyen,Use-As-Is,NCR-2753,6.95
INS-00036,2024-09-11,WHAR-005,SUP-005,LOT-600,63,60,3,Incorrect Part Number,Documentation,In-Process Inspection,QE-Nguyen,Reject,,117.19
INS-00037,2023-02-22,LARM-015,SUP-010,LOT-233,33,28,5,Contamination,Cosmetic,Final Assembly,QE-Nguyen,Reject,NCR-1058,379.31
INS-00038,2024-03-28,PROP-003,SUP-006,LOT-954,151,127,11,Contamination,Cosmetic,Receiving Inspection,QE-Nguyen,Rework,NCR-3442,787.63
INS-00039,2024-07-19,FAST-010,SUP-008,LOT-142,47,38,0,,,In-Process Inspection,QE-Nguyen,Accept,,0.0
INS-00040,2023-02-10,BCON-006,SUP-004,LOT-782,101,51,0,,,In-Process Inspection,QE-Torres,Accept,,0.0
INS-00041,2024-07-27,BCON-006,SUP-004,LOT-930,114,107,2,Thread Damage,Dimensional,In-Process Inspection,QE-Patel,Rework,,58.86
INS-00042,2024-02-27,LARM-015,SUP-010,LOT-901,16,6,0,,,Final Assembly,QE-Brooks,Accept,,0.0
INS-00043,2024-11-16,GPS-013,SUP-004,LOT-327,198,112,15,Delamination,Composite,In-Process Inspection,QE-Patel,Reject,NCR-1634,5986.4
INS-00044,2024-04-16,FC-014,SUP-004,LOT-328,99,63,0,,,In-Process Inspection,QE-Torres,Accept,,0.0
INS-00045,2023-07-17,THRM-011,SUP-005,LOT-963,112,70,5,Delamination,Composite,Receiving Inspection,QE-Osei,Use-As-Is,NCR-9346,22.74
INS-00046,2023-01-29,BCON-006,SUP-004,LOT-211,39,37,3,Delamination,Composite,In-Process Inspection,QE-Osei,Reject,,37.11
INS-00047,2023-12-20,WING-007,SUP-006,LOT-145,196,129,2,Contamination,Cosmetic,Receiving Inspection,QE-Brooks,Use-As-Is,,369.67
INS-00048,2024-06-16,MMB-001,SUP-003,LOT-438,147,123,16,Thread Damage,Dimensional,In-Process Inspection,QE-Osei,Use-As-Is,,3260.94
INS-00049,2024-11-10,BCON-006,SUP-004,LOT-402,41,29,4,Insulation Damage,Electrical,Final Assembly,QE-Osei,Reject,,62.63
INS-00050,2023-07-16,PROP-003,SUP-006,LOT-953,117,114,1,Contamination,Cosmetic,In-Process Inspection,QE-Torres,Reject,,59.05
INS-00051,2023-10-21,WHAR-005,SUP-005,LOT-623,63,42,5,Connector Misalignment,Assembly,Final Assembly,QE-Brooks,Use-As-Is,,351.74
INS-00052,2023-06-23,GPS-013,SUP-004,LOT-788,178,65,3,Delamination,Composite,Final Assembly,QE-Nguyen,Rework,,1081.23
INS-00053,2023-07-23,MOTOR-004,SUP-007,LOT-566,47,12,1,Dimensional Out-of-Tolerance,Dimensional,In-Process Inspection,QE-Brooks,Use-As-Is,,193.51
INS-00054,2024-10-06,LARM-015,SUP-010,LOT-105,157,63,5,Thread Damage,Dimensional,End-of-Line Test,QE-Torres,Use-As-Is,NCR-3417,588.94
INS-00055,2024-03-11,GPS-013,SUP-004,LOT-224,66,27,3,Connector Misalignment,Assembly,End-of-Line Test,QE-Brooks,Rework,,1260.87
INS-00056,2024-04-20,PROP-003,SUP-006,LOT-616,180,180,2,Insulation Damage,Electrical,Final Assembly,QE-Brooks,Use-As-Is,,174.47
INS-00057,2024-07-15,FC-014,SUP-004,LOT-383,124,51,2,Thread Damage,Dimensional,End-of-Line Test,QE-Osei,Use-As-Is,NCR-5050,1089.86
INS-00058,2024-10-03,BATT-008,SUP-009,LOT-653,71,34,2,Crack / Fracture,Composite,Receiving Inspection,QE-Torres,Reject,NCR-5451,749.88
INS-00059,2023-06-04,PROP-003,SUP-006,LOT-823,69,41,0,,,In-Process Inspection,QE-Patel,Accept,,0.0
INS-00060,2024-02-29,ESC-002,SUP-004,LOT-888,114,70,6,Insulation Damage,Electrical,End-of-Line Test,QE-Osei,Use-As-Is,NCR-7883,920.85
INS-00061,2023-01-21,FRAME-012,SUP-001,LOT-955,157,87,1,Crack / Fracture,Composite,Receiving Inspection,QE-Brooks,Use-As-Is,NCR-7389,993.1
INS-00062,2024-07-13,PYLD-009,SUP-001,LOT-444,164,155,9,Solder Joint Failure,Electrical,End-of-Line Test,QE-Brooks,Rework,NCR-8956,376.68
INS-00063,2023-06-19,FRAME-012,SUP-001,LOT-185,129,48,3,Corrosion,Cosmetic,Receiving Inspection,QE-Brooks,Use-As-Is,,2465.1
INS-00064,2024-04-17,PROP-003,SUP-006,LOT-488,56,17,0,,,Final Assembly,QE-Nguyen,Accept,,0.0
INS-00065,2024-04-10,MOTOR-004,SUP-007,LOT-358,93,66,6,Connector Misalignment,Assembly,End-of-Line Test,QE-Torres,Use-As-Is,,1233.39
INS-00066,2023-01-20,BATT-008,SUP-009,LOT-353,148,43,3,Incorrect Part Number,Documentation,In-Process Inspection,QE-Patel,Reject,NCR-1659,1928.13
INS-00067,2023-01-21,FC-014,SUP-004,LOT-323,169,81,2,Solder Joint Failure,Electrical,In-Process Inspection,QE-Brooks,Use-As-Is,,813.97
INS-00068,2023-09-20,FRAME-012,SUP-001,LOT-126,104,47,10,Corrosion,Cosmetic,Receiving Inspection,QE-Nguyen,Reject,NCR-6096,3222.89
INS-00069,2024-11-24,FAST-010,SUP-008,LOT-177,106,76,0,,,In-Process Inspection,QE-Osei,Accept,,0.0
INS-00070,2024-10-04,FRAME-012,SUP-001,LOT-970,72,24,0,,,Final Assembly,QE-Osei,Accept,,0.0
INS-00071,2023-05-04,GPS-013,SUP-004,LOT-618,154,138,10,Dimensional Out-of-Tolerance,Dimensional,Final Assembly,QE-Nguyen,Reject,,2234.06
INS-00072,2024-03-06,MMB-001,SUP-003,LOT-470,135,46,0,,,End-of-Line Test,QE-Brooks,Accept,,0.0
INS-00073,2023-06-06,FRAME-012,SUP-001,LOT-595,121,52,1,Thread Damage,Dimensional,Final Assembly,QE-Brooks,Reject,,709.36
INS-00074,2024-08-29,WING-007,SUP-006,LOT-575,78,39,1,Electrical Short,Electrical,In-Process Inspection,QE-Osei,Rework,NCR-8385,207.42
INS-00075,2024-11-15,FAST-010,SUP-008,LOT-606,107,69,0,,,Receiving Inspection,QE-Nguyen,Accept,,0.0
INS-00076,2024-05-14,PROP-003,SUP-006,LOT-448,64,38,0,,,Final Assembly,QE-Nguyen,Accept,,0.0
INS-00077,2024-09-02,LARM-015,SUP-010,LOT-837,189,117,35,Insulation Damage,Electrical,Receiving Inspection,QE-Brooks,MRB Review,NCR-4130,1527.04
INS-00078,2024-07-22,BATT-008,SUP-009,LOT-326,71,61,7,Crack / Fracture,Composite,End-of-Line Test,QE-Brooks,Use-As-Is,,1536.88
INS-00079,2023-09-07,FRAME-012,SUP-001,LOT-460,88,69,4,Crack / Fracture,Composite,Final Assembly,QE-Brooks,Use-As-Is,,2881.4
INS-00080,2023-11-10,WHAR-005,SUP-005,LOT-838,74,32,0,,,Receiving Inspection,QE-Patel,Accept,,0.0
INS-00081,2023-05-03,BCON-006,SUP-004,LOT-703,200,187,2,Connector Misalignment,Assembly,In-Process Inspection,QE-Osei,Rework,NCR-8933,25.27
INS-00082,2023-10-17,FAST-010,SUP-008,LOT-403,35,34,0,,,In-Process Inspection,QE-Patel,Accept,,0.0
INS-00083,2023-07-03,BCON-006,SUP-004,LOT-814,87,22,1,Thread Damage,Dimensional,In-Process Inspection,QE-Patel,Use-As-Is,NCR-1893,19.28
INS-00084,2024-05-17,THRM-011,SUP-005,LOT-152,36,36,1,Dimensional Out-of-Tolerance,Dimensional,Final Assembly,QE-Nguyen,Use-As-Is,,4.13
INS-00085,2024-05-04,FC-014,SUP-004,LOT-510,39,35,0,,,Receiving Inspection,QE-Brooks,Accept,,0.0
INS-00086,2024-08-13,ESC-002,SUP-004,LOT-354,171,55,4,Missing Hardware,Assembly,In-Process Inspection,QE-Torres,Reject,,321.77
INS-00087,2024-03-02,PYLD-009,SUP-001,LOT-702,165,117,3,Connector Misalignment,Assembly,In-Process Inspection,QE-Brooks,Reject,NCR-8253,246.31
INS-00088,2024-08-05,WHAR-005,SUP-005,LOT-183,168,49,5,Corrosion,Cosmetic,Receiving Inspection,QE-Patel,Rework,,195.57
INS-00089,2023-06-27,MOTOR-004,SUP-007,LOT-581,151,46,12,Missing Hardware,Assembly,Receiving Inspection,QE-Nguyen,Supplier Return,NCR-8381,2141.77
INS-00090,2023-08-26,MMB-001,SUP-003,LOT-906,83,56,3,Thread Damage,Dimensional,End-of-Line Test,QE-Osei,Rework,,598.69
INS-00091,2023-07-22,THRM-011,SUP-005,LOT-173,118,43,3,Insulation Damage,Electrical,In-Process Inspection,QE-Torres,Reject,NCR-5352,22.61
INS-00092,2023-11-11,PROP-003,SUP-006,LOT-378,162,135,3,Electrical Short,Electrical,Final Assembly,QE-Osei,Use-As-Is,NCR-5982,256.43
INS-00093,2024-05-20,PYLD-009,SUP-001,LOT-126,122,40,2,Corrosion,Cosmetic,Receiving Inspection,QE-Torres,Use-As-Is,,256.11
INS-00094,2024-11-21,MOTOR-004,SUP-007,LOT-279,157,114,18,Dimensional Out-of-Tolerance,Dimensional,Final Assembly,QE-Brooks,MRB Review,NCR-1659,3464.83
INS-00095,2024-10-29,PYLD-009,SUP-001,LOT-581,123,65,3,Missing Hardware,Assembly,End-of-Line Test,QE-Nguyen,Reject,,548.57
INS-00096,2023-12-08,WING-007,SUP-006,LOT-778,92,36,3,Electrical Short,Electrical,In-Process Inspection,QE-Brooks,Use-As-Is,,939.29
INS-00097,2024-07-17,FC-014,SUP-004,LOT-944,19,18,1,Surface Finish,Cosmetic,Final Assembly,QE-Torres,Use-As-Is,NCR-7622,557.46
INS-00098,2024-07-09,THRM-011,SUP-005,LOT-878,128,84,2,Dimensional Out-of-Tolerance,Dimensional,In-Process Inspection,QE-Torres,Reject,NCR-9167,12.26
INS-00099,2023-10-01,MOTOR-004,SUP-007,LOT-129,150,53,7,Documentation Missing,Documentation,Final Assembly,QE-Osei,Use-As-Is,,977.17
INS-00100,2023-09-03,GPS-013,SUP-004,LOT-961,191,87,3,Delamination,Composite,Receiving Inspection,QE-Torres,Reject,,512.68
INS-00101,2023-05-01,BATT-008,SUP-009,LOT-594,175,82,2,Crack / Fracture,Composite,Final Assembly,QE-Brooks,Reject,,851.83
INS-00102,2024-04-12,MOTOR-004,SUP-007,LOT-239,151,55,17,Contamination,Cosmetic,In-Process Inspection,QE-Torres,MRB Review,NCR-9327,3218.02
INS-00103,2024-02-29,WHAR-005,SUP-005,LOT-693,97,88,2,Delamination,Composite,Receiving Inspection,QE-Brooks,Use-As-Is,,165.3
INS-00104,2023-06-02,FC-014,SUP-004,LOT-566,124,99,4,Crack / Fracture,Composite,Final Assembly,QE-Nguyen,Use-As-Is,,1586.86
INS-00105,2023-07-13,FC-014,SUP-004,LOT-425,188,108,6,Corrosion,Cosmetic,End-of-Line Test,QE-Brooks,Rework,,1982.33
INS-00106,2024-01-26,FRAME-012,SUP-001,LOT-990,108,46,1,Crack / Fracture,Composite,Receiving Inspection,QE-Torres,Rework,,756.16
INS-00107,2024-03-26,FC-014,SUP-004,LOT-115,35,24,0,,,End-of-Line Test,QE-Patel,Accept,,0.0
INS-00108,2024-11-01,WING-007,SUP-006,LOT-900,49,16,0,,,End-of-Line Test,QE-Nguyen,Accept,,0.0
INS-00109,2024-09-30,BCON-006,SUP-004,LOT-489,187,147,9,Wrong Material Cert,Documentation,Receiving Inspection,QE-Nguyen,Use-As-Is,,239.62
INS-00110,2024-05-14,THRM-011,SUP-005,LOT-332,148,41,2,Corrosion,Cosmetic,Receiving Inspection,QE-Torres,Rework,,16.39
INS-00111,2023-04-11,WING-007,SUP-006,LOT-270,172,68,0,,,End-of-Line Test,QE-Nguyen,Accept,,0.0
INS-00112,2023-01-30,LARM-015,SUP-010,LOT-643,21,15,2,Connector Misalignment,Assembly,Receiving Inspection,QE-Brooks,Use-As-Is,NCR-8056,102.85
INS-00113,2024-11-29,FAST-010,SUP-008,LOT-180,56,24,0,,,In-Process Inspection,QE-Osei,Accept,,0.0
INS-00114,2024-01-27,FC-014,SUP-004,LOT-753,168,129,27,Solder Joint Failure,Electrical,End-of-Line Test,QE-Nguyen,MRB Review,NCR-3344,6509.54
INS-00115,2023-09-19,BATT-008,SUP-009,LOT-552,180,47,3,Documentation Missing,Documentation,End-of-Line Test,QE-Nguyen,Use-As-Is,,783.31
INS-00116,2023-11-03,FAST-010,SUP-008,LOT-493,173,151,6,Thread Damage,Dimensional,Final Assembly,QE-Brooks,Use-As-Is,,26.95
INS-00117,2023-08-31,ESC-002,SUP-004,LOT-679,107,99,6,Incorrect Part Number,Documentation,Final Assembly,QE-Torres,Reject,NCR-7484,755.25
INS-00118,2024-09-12,LARM-015,SUP-010,LOT-294,200,177,50,Electrical Short,Electrical,Final Assembly,QE-Osei,Reject,NCR-6772,3048.53
INS-00119,2024-11-25,WHAR-005,SUP-005,LOT-551,194,83,13,Wrong Material Cert,Documentation,Receiving Inspection,QE-Torres,MRB Review,NCR-1645,552.23
INS-00120,2024-01-09,FAST-010,SUP-008,LOT-235,197,82,1,Surface Finish,Cosmetic,Final Assembly,QE-Osei,Use-As-Is,,4.26
INS-00121,2024-01-10,LARM-015,SUP-010,LOT-593,145,100,19,Documentation Missing,Documentation,Final Assembly,QE-Nguyen,Reject,NCR-5210,2875.2
INS-00122,2023-12-13,FRAME-012,SUP-001,LOT-506,39,23,2,Surface Finish,Cosmetic,In-Process Inspection,QE-Osei,Rework,,1753.59
INS-00123,2023-04-03,BCON-006,SUP-004,LOT-942,111,28,2,Delamination,Composite,Receiving Inspection,QE-Nguyen,Use-As-Is,NCR-5295,40.06
INS-00124,2024-11-22,ESC-002,SUP-004,LOT-575,69,47,2,Dimensional Out-of-Tolerance,Dimensional,Final Assembly,QE-Nguyen,Reject,NCR-2035,424.99
INS-00125,2024-02-23,THRM-011,SUP-005,LOT-340,39,13,2,Dimensional Out-of-Tolerance,Dimensional,Receiving Inspection,QE-Osei,Supplier Return,NCR-9071,5.13
INS-00126,2024-02-02,PROP-003,SUP-006,LOT-524,126,78,5,Wrong Material Cert,Documentation,End-of-Line Test,QE-Torres,Reject,,182.04
INS-00127,2024-05-16,FC-014,SUP-004,LOT-341,167,93,1,Delamination,Composite,Receiving Inspection,QE-Nguyen,Reject,NCR-8264,347.35
INS-00128,2024-12-03,ESC-002,SUP-004,LOT-968,104,95,7,Documentation Missing,Documentation,Final Assembly,QE-Brooks,Rework,NCR-4109,2046.59
INS-00129,2024-11-09,ESC-002,SUP-004,LOT-228,64,57,1,Wrong Material Cert,Documentation,Receiving Inspection,QE-Osei,Rework,,118.46
INS-00130,2023-03-12,MOTOR-004,SUP-007,LOT-907,151,63,20,Corrosion,Cosmetic,In-Process Inspection,QE-Osei,Reject,NCR-6383,3892.6
INS-00131,2023-10-11,MMB-001,SUP-003,LOT-466,47,19,1,Insulation Damage,Electrical,Final Assembly,QE-Patel,Rework,NCR-1422,64.91
INS-00132,2023-11-28,FAST-010,SUP-008,LOT-153,14,5,0,,,Final Assembly,QE-Patel,Accept,,0.0
INS-00133,2024-03-07,FRAME-012,SUP-001,LOT-707,144,50,4,Thread Damage,Dimensional,Receiving Inspection,QE-Torres,Use-As-Is,,2203.34
INS-00134,2024-05-30,BATT-008,SUP-009,LOT-590,66,55,1,Dimensional Out-of-Tolerance,Dimensional,Final Assembly,QE-Brooks,Use-As-Is,,179.94
INS-00135,2024-12-03,WING-007,SUP-006,LOT-175,37,24,0,,,End-of-Line Test,QE-Torres,Accept,,0.0
INS-00136,2024-09-14,BCON-006,SUP-004,LOT-432,47,15,1,Missing Hardware,Assembly,Final Assembly,QE-Brooks,Reject,,19.16
INS-00137,2024-06-27,FAST-010,SUP-008,LOT-770,85,79,1,Insulation Damage,Electrical,End-of-Line Test,QE-Osei,Rework,,3.64
INS-00138,2023-08-09,FRAME-012,SUP-001,LOT-847,120,87,3,Documentation Missing,Documentation,In-Process Inspection,QE-Torres,Use-As-Is,NCR-8430,1751.57
INS-00139,2024-03-13,BCON-006,SUP-004,LOT-951,90,54,2,Incorrect Part Number,Documentation,In-Process Inspection,QE-Torres,Reject,,15.22
INS-00140,2024-03-18,ESC-002,SUP-004,LOT-675,34,31,4,Thread Damage,Dimensional,Final Assembly,QE-Osei,Rework,,803.01
INS-00141,2024-11-17,BCON-006,SUP-004,LOT-460,41,36,2,Incorrect Part Number,Documentation,End-of-Line Test,QE-Torres,Reject,NCR-5712,40.82
INS-00142,2024-06-03,FAST-010,SUP-008,LOT-329,64,25,0,,,End-of-Line Test,QE-Torres,Accept,,0.0
INS-00143,2024-07-23,BCON-006,SUP-004,LOT-687,104,40,0,,,Final Assembly,QE-Patel,Accept,,0.0
INS-00144,2024-03-15,GPS-013,SUP-004,LOT-373,153,136,2,Electrical Short,Electrical,Receiving Inspection,QE-Torres,Reject,,777.21
INS-00145,2023-10-07,PROP-003,SUP-006,LOT-510,189,126,7,Documentation Missing,Documentation,Final Assembly,QE-Torres,Use-As-Is,NCR-3347,514.28
INS-00146,2024-10-10,PROP-003,SUP-006,LOT-485,17,5,0,,,In-Process Inspection,QE-Brooks,Accept,,0.0
INS-00147,2023-12-16,BATT-008,SUP-009,LOT-259,50,35,1,Delamination,Composite,Final Assembly,QE-Patel,Reject,,725.34
INS-00148,2024-09-24,GPS-013,SUP-004,LOT-553,22,7,0,,,Final Assembly,QE-Brooks,Accept,,0.0
INS-00149,2024-09-13,BATT-008,SUP-009,LOT-794,123,83,2,Delamination,Composite,In-Process Inspection,QE-Osei,Reject,NCR-8043,461.94
INS-00150,2024-06-23,BATT-008,SUP-009,LOT-309,180,123,7,Dimensional Out-of-Tolerance,Dimensional,In-Process Inspection,QE-Nguyen,Use-As-Is,,1365.42
INS-00151,2023-05-21,MOTOR-004,SUP-007,LOT-279,75,36,7,Incorrect Part Number,Documentation,Receiving Inspection,QE-Patel,Reject,NCR-9149,1326.03
INS-00152,2024-06-29,WING-007,SUP-006,LOT-570,190,105,1,Insulation Damage,Electrical,Final Assembly,QE-Torres,Rework,NCR-1693,288.21
INS-00153,2023-11-17,FC-014,SUP-004,LOT-514,157,93,5,Corrosion,Cosmetic,End-of-Line Test,QE-Torres,Reject,,1348.79
INS-00154,2023-06-25,BCON-006,SUP-004,LOT-546,168,100,3,Electrical Short,Electrical,Final Assembly,QE-Osei,Rework,,25.62
INS-00155,2024-06-20,WING-007,SUP-006,LOT-863,30,19,0,,,Final Assembly,QE-Nguyen,Accept,,0.0
INS-00156,2023-12-08,MOTOR-004,SUP-007,LOT-894,53,17,6,Insulation Damage,Electrical,Receiving Inspection,QE-Nguyen,MRB Review,NCR-9355,506.05
INS-00157,2024-10-22,BCON-006,SUP-004,LOT-249,47,26,0,,,Receiving Inspection,QE-Nguyen,Accept,,0.0
INS-00158,2023-06-27,MOTOR-004,SUP-007,LOT-677,164,60,21,Connector Misalignment,Assembly,Receiving Inspection,QE-Osei,Reject,NCR-9095,2848.67
INS-00159,2024-11-28,BATT-008,SUP-009,LOT-552,154,120,6,Wrong Material Cert,Documentation,Final Assembly,QE-Nguyen,Reject,NCR-8205,1222.22
INS-00160,2023-10-09,GPS-013,SUP-004,LOT-477,161,47,4,Incorrect Part Number,Documentation,Receiving Inspection,QE-Nguyen,Use-As-Is,,414.15
INS-00161,2024-10-22,ESC-002,SUP-004,LOT-856,33,27,2,Corrosion,Cosmetic,End-of-Line Test,QE-Torres,Use-As-Is,,578.03
INS-00162,2024-08-08,BATT-008,SUP-009,LOT-930,176,92,4,Incorrect Part Number,Documentation,End-of-Line Test,QE-Nguyen,Reject,NCR-2013,1793.34
INS-00163,2023-03-28,FRAME-012,SUP-001,LOT-636,139,116,7,Missing Hardware,Assembly,Receiving Inspection,QE-Osei,Rework,,7818.21
INS-00164,2023-06-12,FAST-010,SUP-008,LOT-712,103,72,1,Documentation Missing,Documentation,Final Assembly,QE-Torres,Use-As-Is,,5.88
INS-00165,2024-10-08,GPS-013,SUP-004,LOT-358,175,128,14,Surface Finish,Cosmetic,Final Assembly,QE-Osei,Rework,,3208.28
INS-00166,2023-06-03,FC-014,SUP-004,LOT-458,95,33,0,,,In-Process Inspection,QE-Nguyen,Accept,,0.0
INS-00167,2024-12-16,THRM-011,SUP-005,LOT-436,179,144,8,Missing Hardware,Assembly,Receiving Inspection,QE-Patel,Use-As-Is,,50.04
INS-00168,2024-12-20,THRM-011,SUP-005,LOT-416,199,183,37,Surface Finish,Cosmetic,End-of-Line Test,QE-Patel,MRB Review,NCR-6928,69.47
INS-00169,2023-12-16,MOTOR-004,SUP-007,LOT-652,134,57,1,Solder Joint Failure,Electrical,In-Process Inspection,QE-Osei,Rework,NCR-2657,143.96
INS-00170,2024-11-08,MMB-001,SUP-003,LOT-144,96,40,3,Corrosion,Cosmetic,End-of-Line Test,QE-Brooks,Rework,NCR-3712,495.3
INS-00171,2024-11-23,BCON-006,SUP-004,LOT-344,194,108,5,Crack / Fracture,Composite,Final Assembly,QE-Nguyen,Reject,,58.08
INS-00172,2024-04-25,GPS-013,SUP-004,LOT-614,59,37,2,Wrong Material Cert,Documentation,End-of-Line Test,QE-Osei,Use-As-Is,,740.25
INS-00173,2023-06-15,WING-007,SUP-006,LOT-667,61,53,3,Missing Hardware,Assembly,Final Assembly,QE-Torres,Rework,,1416.39
INS-00174,2024-06-12,FRAME-012,SUP-001,LOT-950,41,28,1,Surface Finish,Cosmetic,In-Process Inspection,QE-Brooks,Use-As-Is,,687.02
INS-00175,2023-08-16,ESC-002,SUP-004,LOT-495,125,75,9,Documentation Missing,Documentation,Receiving Inspection,QE-Torres,Use-As-Is,NCR-9224,1347.76
INS-00176,2023-08-18,BCON-006,SUP-004,LOT-959,17,9,0,,,Receiving Inspection,QE-Nguyen,Accept,,0.0
INS-00177,2023-05-30,GPS-013,SUP-004,LOT-949,45,13,0,,,Final Assembly,QE-Brooks,Accept,,0.0
INS-00178,2023-05-23,FRAME-012,SUP-001,LOT-661,190,167,11,Crack / Fracture,Composite,Receiving Inspection,QE-Osei,Rework,NCR-4533,10741.13
INS-00179,2024-03-09,PYLD-009,SUP-001,LOT-912,38,33,1,Delamination,Composite,In-Process Inspection,QE-Osei,Use-As-Is,NCR-4906,100.47
