part_serial_number,lot_number,supplier_id,part_disposition,feature_id,feature_name,gdandt_type,criticality,nominal_x,nominal_y,measured_x,measured_y,measured_value,nominal_value,tolerance,lower_limit,upper_limit,deviation,margin,margin_pct,result,datum_reference,inspector,inspection_date
MMB-0004,LOT-201,SUP-003,FAIL,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.059,0.0,0.15,,,0.059,0.091,60.7,PASS,A,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.0106,0.0,0.3,,,0.0106,0.2894,96.5,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,4.9841,5.0,0.05,4.95,5.05,0.0159,0.0341,68.2,PASS,,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,8.0379,8.0,0.1,7.9,8.1,0.0379,0.0621,62.1,PASS,,QE-Nguyen,2024-02-15
MMB-0004,LOT-201,SUP-003,FAIL,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,6.0219,6.0,0.1,5.9,6.1,0.0219,0.0781,78.1,PASS,,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,20.0349,20.0087,0.072,,0.2,,,0.07194,0.12806,64.0,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,80.0331,20.0121,0.0705,,0.2,,,0.07048,0.12952,64.8,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9933,60.0466,0.0941,,0.2,,,0.09416,0.10584,52.9,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,79.9853,59.9538,0.097,,0.2,,,0.09696,0.10304,51.5,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0432,0.0,0.05,,,0.0432,0.0068,13.6,PASS,A,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.092,0.0,0.1,,,0.092,0.008,8.0,BORDERLINE,A,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.007,0.0,0.15,,,0.007,0.143,95.3,PASS,A,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.1647,0.0,0.3,,,0.1647,0.1353,45.1,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,4.9591,5.0,0.05,4.95,5.05,0.0409,0.0091,18.2,PASS,,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,8.0421,8.0,0.1,7.9,8.1,0.0421,0.0579,57.9,PASS,,QE-Nguyen,2024-02-15
MMB-0005,LOT-201,SUP-003,MRB REVIEW,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,5.9817,6.0,0.1,5.9,6.1,0.0183,0.0817,81.7,PASS,,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,20.0392,19.9693,0.0997,,0.2,,,0.09958,0.10042,50.2,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,80.0166,19.931,0.142,,0.2,,,0.14194,0.05806,29.0,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9888,59.9976,0.023,,0.2,,,0.02291,0.17709,88.5,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,80.0577,60.1077,0.2443,,0.2,,,0.24437,-0.04437,-22.2,FAIL,A|B|C,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0337,0.0,0.05,,,0.0337,0.0163,32.6,PASS,A,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.0639,0.0,0.1,,,0.0639,0.0361,36.1,PASS,A,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.0289,0.0,0.15,,,0.0289,0.1211,80.7,PASS,A,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.0207,0.0,0.3,,,0.0207,0.2793,93.1,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,5.0038,5.0,0.05,4.95,5.05,0.0038,0.0462,92.4,PASS,,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,8.0141,8.0,0.1,7.9,8.1,0.0141,0.0859,85.9,PASS,,QE-Nguyen,2024-02-15
MMB-0006,LOT-201,SUP-003,FAIL,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,6.0202,6.0,0.1,5.9,6.1,0.0202,0.0798,79.8,PASS,,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,20.0352,20.018,0.0792,,0.2,,,0.07907,0.12093,60.5,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,79.9267,20.0446,0.1717,,0.2,,,0.1716,0.0284,14.2,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9958,59.9618,0.0769,,0.2,,,0.07686,0.12314,61.6,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,79.9751,59.9161,0.1751,,0.2,,,0.17503,0.02497,12.5,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0198,0.0,0.05,,,0.0198,0.0302,60.4,PASS,A,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.0775,0.0,0.1,,,0.0775,0.0225,22.5,PASS,A,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.0569,0.0,0.15,,,0.0569,0.0931,62.1,PASS,A,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.0597,0.0,0.3,,,0.0597,0.2403,80.1,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,4.9948,5.0,0.05,4.95,5.05,0.0052,0.0448,89.6,PASS,,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,8.0238,8.0,0.1,7.9,8.1,0.0238,0.0762,76.2,PASS,,QE-Nguyen,2024-02-15
MMB-0007,LOT-201,SUP-003,PASS,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,5.9713,6.0,0.1,5.9,6.1,0.0287,0.0713,71.3,PASS,,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,19.949,20.0064,0.1027,,0.2,,,0.1028,0.0972,48.6,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,79.9375,20.0973,0.2312,,0.2,,,0.23129,-0.03129,-15.6,FAIL,A|B|C,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9939,59.9637,0.0736,,0.2,,,0.07362,0.12638,63.2,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,79.951,59.971,0.1139,,0.2,,,0.11388,0.08612,43.1,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0165,0.0,0.05,,,0.0165,0.0335,67.0,PASS,A,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.0077,0.0,0.1,,,0.0077,0.0923,92.3,PASS,A,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.1205,0.0,0.15,,,0.1205,0.0295,19.7,PASS,A,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.1189,0.0,0.3,,,0.1189,0.1811,60.4,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,4.9995,5.0,0.05,4.95,5.05,0.0005,0.0495,99.0,PASS,,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,8.0345,8.0,0.1,7.9,8.1,0.0345,0.0655,65.5,PASS,,QE-Nguyen,2024-02-15
MMB-0008,LOT-201,SUP-003,FAIL,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,5.9786,6.0,0.1,5.9,6.1,0.0214,0.0786,78.6,PASS,,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,19.9621,20.0229,0.0886,,0.2,,,0.08856,0.11144,55.7,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,79.9968,20.0172,0.0351,,0.2,,,0.03499,0.16501,82.5,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9968,59.9903,0.0203,,0.2,,,0.02043,0.17957,89.8,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,80.086,60.0639,0.2144,,0.2,,,0.21428,-0.01428,-7.1,FAIL,A|B|C,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0125,0.0,0.05,,,0.0125,0.0375,75.0,PASS,A,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.0994,0.0,0.1,,,0.0994,0.0006,0.6,BORDERLINE,A,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.1563,0.0,0.15,,,0.1563,-0.0063,-4.2,FAIL,A,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.2062,0.0,0.3,,,0.2062,0.0938,31.3,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,4.9957,5.0,0.05,4.95,5.05,0.0043,0.0457,91.4,PASS,,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,7.9893,8.0,0.1,7.9,8.1,0.0107,0.0893,89.3,PASS,,QE-Nguyen,2024-02-15
MMB-0009,LOT-201,SUP-003,FAIL,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,6.0232,6.0,0.1,5.9,6.1,0.0232,0.0768,76.8,PASS,,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,19.969,20.0178,0.0714,,0.2,,,0.07149,0.12851,64.3,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,79.9989,20.0609,0.1218,,0.2,,,0.12182,0.07818,39.1,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9844,59.9823,0.0472,,0.2,,,0.04719,0.15281,76.4,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,80.0227,60.116,0.2365,,0.2,,,0.2364,-0.0364,-18.2,FAIL,A|B|C,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0262,0.0,0.05,,,0.0262,0.0238,47.6,PASS,A,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.0425,0.0,0.1,,,0.0425,0.0575,57.5,PASS,A,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,,,,,0.1043,0.0,0.15,,,0.1043,0.0457,30.5,PASS,A,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,,,,,0.1703,0.0,0.3,,,0.1703,0.1297,43.2,PASS,A|B|C,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,,,,,4.981,5.0,0.05,4.95,5.05,0.019,0.031,62.0,PASS,,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,SLOT_WIDTH,Alignment Slot Width,width,Medium,,,,,7.9939,8.0,0.1,7.9,8.1,0.0061,0.0939,93.9,PASS,,QE-Nguyen,2024-02-15
MMB-0010,LOT-201,SUP-003,FAIL,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,,,,,6.0324,6.0,0.1,5.9,6.1,0.0324,0.0676,67.6,PASS,,QE-Nguyen,2024-02-15
MMB-0011,LOT-202,SUP-003,MRB REVIEW,HOLE_1_POSITION,Hole 1 True Position,position,High,20.0,20.0,20.0268,19.9543,0.106,,0.2,,,0.10596,0.09404,47.0,PASS,A|B|C,QE-Nguyen,2024-03-10
MMB-0011,LOT-202,SUP-003,MRB REVIEW,HOLE_2_POSITION,Hole 2 True Position,position,High,80.0,20.0,80.031,19.992,0.0641,,0.2,,,0.06403,0.13597,68.0,PASS,A|B|C,QE-Nguyen,2024-03-10
MMB-0011,LOT-202,SUP-003,MRB REVIEW,HOLE_3_POSITION,Hole 3 True Position,position,High,20.0,60.0,19.9845,59.9646,0.0774,,0.2,,,0.07729,0.12271,61.4,PASS,A|B|C,QE-Nguyen,2024-03-10
MMB-0011,LOT-202,SUP-003,MRB REVIEW,HOLE_4_POSITION,Hole 4 True Position,position,High,80.0,60.0,79.9786,60.0334,0.0793,,0.2,,,0.07934,0.12066,60.3,PASS,A|B|C,QE-Nguyen,2024-03-10
MMB-0011,LOT-202,SUP-003,MRB REVIEW,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,,,,,0.0407,0.0,0.05,,,0.0407,0.0093,18.6,PASS,A,QE-Nguyen,2024-03-10
MMB-0011,LOT-202,SUP-003,MRB REVIEW,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,,,,,0.0708,0.0,0.1,,,0.0708,0.0292,29.2,PASS,A,QE-Nguyen,2024-03-10
